region,ranking,deferred,saved,score
in,aleatoric,0.92,0.08,0.00015990398704902864
in,aleatoric,0.94,0.06,0.00012120619102682785
in,aleatoric,0.96,0.04,7.954541165587699e-05
in,aleatoric,0.98,0.02,2.7142608695653386e-05
in,aleatoric,1.0,0.0,0.0
in,total,0.0,1.0,0.007276535013876044
in,total,0.02,0.98,0.00669463895235893
in,total,0.04,0.96,0.006323626147086034
in,total,0.06,0.94,0.006015198068917671
in,total,0.08,0.92,0.005726353506012953
in,total,0.1,0.9,0.005414676859389456
in,total,0.12,0.88,0.005171227599444958
in,total,0.14,0.86,0.0049322934250693815
in,total,0.16,0.84,0.004654932049028677
in,total,0.18,0.82,0.0043928317599444934
in,total,0.2,0.8,0.00416108468085106
in,total,0.22,0.78,0.00394326053885291
in,total,0.24,0.76,0.0037188015610545746
in,total,0.26,0.74,0.0035097231753006435
in,total,0.28,0.72,0.0033049812534690064
in,total,0.3,0.7,0.003123409967622564
in,total,0.32,0.68,0.0029616065911193252
in,total,0.34,0.66,0.002795613385753926
in,total,0.36,0.64,0.0026442957608695597
in,total,0.38,0.62,0.0024870932793709484
in,total,0.4,0.6,0.0023447677127659545
in,total,0.42,0.58,0.0022019852567067484
in,total,0.44,0.56,0.0020738055342275612
in,total,0.46,0.54,0.0019542212002775167
in,total,0.48,0.52,0.0018342074005550395
in,total,0.5,0.5,0.001721707719703972
in,total,0.52,0.48,0.0015980599583718723
in,total,0.54,0.46,0.0015029078399629936
in,total,0.56,0.44,0.0014019822432932427
in,total,0.58,0.42,0.0013129092900092476
in,total,0.6,0.4,0.0012240186655874147
in,total,0.62,0.38,0.0011437573404255276
in,total,0.64,0.36,0.0010612480249768683
in,total,0.66,0.34,0.000977267018963915
in,total,0.68,0.32,0.0009074811355226558
in,total,0.7,0.3,0.0008461276040702984
in,total,0.72,0.28,0.0007716202358926894
in,total,0.74,0.26,0.0006965856197964812
in,total,0.76,0.24,0.0006148323704902795
in,total,0.78,0.22,0.0005532698288621588
in,total,0.8,0.2,0.0004838932839962941
in,total,0.82,0.18,0.0004176086447733538
in,total,0.84,0.16,0.0003627101688251569
in,total,0.86,0.14,0.00031645987974097923
in,total,0.88,0.12,0.00026606160499537763
in,total,0.9,0.1,0.00021751265263644817
in,total,0.92,0.08,0.00016578271276596155
in,total,0.94,0.06,0.00011837915818686893
in,total,0.96,0.04,7.15469218316419e-05
in,total,0.98,0.02,3.141810360777072e-05
in,total,1.0,0.0,0.0
in,random,0.0,1.0,0.007276535013876039
in,random,0.02,0.98,0.0071344744373265465
in,random,0.04,0.96,0.006985183716142458
in,random,0.06,0.94,0.006838751232377426
in,random,0.08,0.92,0.00668804989389454
in,random,0.1,0.9,0.006541586081452358
