region,ranking,deferred,saved,score
in,aleatoric,0.34,0.66,0.0022008422151215505
in,aleatoric,0.36,0.64,0.0020780758623100536
in,aleatoric,0.38,0.62,0.001958548313130474
in,aleatoric,0.4,0.6,0.0018543715530193298
in,aleatoric,0.42,0.58,0.0017567719080356012
in,aleatoric,0.44,0.56,0.0016497784978829434
in,aleatoric,0.46,0.54,0.0015643717944758084
in,aleatoric,0.48,0.52,0.0014776391165768098
in,aleatoric,0.5,0.5,0.0014051441373072369
in,aleatoric,0.52,0.48,0.0013206555026869253
in,aleatoric,0.54,0.46,0.001242735389713868
in,aleatoric,0.56,0.44,0.001164387523657988
in,aleatoric,0.58,0.42,0.0010862653266130937
in,aleatoric,0.6,0.4,0.0010131529532052892
in,aleatoric,0.62,0.38,0.0009470857910392954
in,aleatoric,0.64,0.36,0.0008814939885794634
in,aleatoric,0.66,0.34,0.0008235772070406161
in,aleatoric,0.68,0.32,0.0007622437772365207
in,aleatoric,0.7,0.3,0.0007005966964704554
in,aleatoric,0.72,0.28,0.000644494208288638
in,aleatoric,0.74,0.26,0.0005862768869205581
in,aleatoric,0.76,0.24,0.0005219218136568158
in,aleatoric,0.78,0.22,0.0004678211848884864
in,aleatoric,0.8,0.2,0.0004195236474665511
in,aleatoric,0.82,0.18,0.0003703749779452837
in,aleatoric,0.84,0.16,0.0003258751725984448
in,aleatoric,0.86,0.14,0.00028018284262016426
in,aleatoric,0.88,0.12,0.0002365121348870446
in,aleatoric,0.9,0.1,0.00018947661897058515
in,aleatoric,0.92,0.08,0.00014736744294491743
in,aleatoric,0.94,0.06,0.00011010619968463195
in,aleatoric,0.96,0.04,7.22510398144458e-05
in,aleatoric,0.98,0.02,3.0361936823708984e-05
in,aleatoric,1.0,0.0,0.0
in,total,0.0,1.0,0.005443035682936381
in,total,0.02,0.98,0.00501083759886977
in,total,0.04,0.96,0.004747153982478593
in,total,0.06,0.94,0.004522324617738846
in,total,0.08,0.92,0.004309376564262966
in,total,0.1,0.9,0.004083308507922923
in,total,0.12,0.88,0.003904294368657477
in,total,0.14,0.86,0.0037335192158843102
in,total,0.16,0.84,0.003534669185247027
in,total,0.18,0.82,0.0033476591372550526
in,total,0.2,0.8,0.0031786403231832787
in,total,0.22,0.78,0.0030174572321078064
in,total,0.24,0.76,0.0028537898944215436
in,total,0.26,0.74,0.002704108681585522
in,total,0.28,0.72,0.002558895241111419
in,total,0.3,0.7,0.0024213017639877843
in,total,0.32,0.68,0.002302796424554947
in,total,0.34,0.66,0.0021819082396210203
in,total,0.36,0.64,0.002067655361274814
in,total,0.38,0.62,0.0019541683065030895
in,total,0.4,0.6,0.0018499894451824996
in,total,0.42,0.58,0.0017476606964755982
in,total,0.44,0.56,0.0016535506392212813
in,total,0.46,0.54,0.0015623248403366797
in,total,0.48,0.52,0.0014698133226897108
in,total,0.5,0.5,0.0013852293606952944
in,total,0.52,0.48,0.0012931335154153952
in,total,0.54,0.46,0.0012201932590276924
in,total,0.56,0.44,0.001142983414780999
in,total,0.58,0.42,0.0010728131578366768
in,total,0.6,0.4,0.0010026171160402767
in,total,0.62,0.38,0.0009376044858247403
in,total,0.64,0.36,0.0008742212925688761
in,total,0.66,0.34,0.0008098282344700165
in,total,0.68,0.32,0.0007500551312706393
in,total,0.7,0.3,0.0006971240229585776
in,total,0.72,0.28,0.0006408412619133758
in,total,0.74,0.26,0.0005840739108619957
in,total,0.76,0.24,0.0005236618962177451
in,total,0.78,0.22,0.0004725243024216369
in,total,0.8,0.2,0.0004179063830506922
in,total,0.82,0.18,0.0003661474030434159
in,total,0.84,0.16,0.00031934681184401224
in,total,0.86,0.14,0.0002763574643863989
in,total,0.88,0.12,0.00023350517836268948
in,total,0.9,0.1,0.0001917111879103139
in,total,0.92,0.08,0.00014713780217889068
in,total,0.94,0.06,0.0001070939212824296
in,total,0.96,0.04,6.768643085704774e-05
in,total,0.98,0.02,3.097911544116844e-05
in,total,1.0,0.0,0.0
in,random,0.0,1.0,0.005443035682936368
in,random,0.02,0.98,0.005337413995412476
in,random,0.04,0.96,0.005225790948782105
in,random,0.06,0.94,0.005115804362941499
in,random,0.08,0.92,0.00500362617091983
in,random,0.1,0.9,0.004894830601256155
in,random,0.12,0.88,0.0047862828101509144
in,random,0.14,0.86,0.004678243482247209
in,random,0.16,0.84,0.004567273522722134
in,random,0.18,0.82,0.004458907963477579
in,random,0.2,0.8,0.00434729266214289
in,random,0.22,0.78,0.004239775287480006
in,random,0.24,0.76,0.0041271842414711156
in,random,0.26,0.74,0.004021586441880522
in,random,0.28,0.72,0.003909463085727781
in,random,0.3,0.7,0.0038014903273289667
in,random,0.32,0.68,0.003693354703281723
in,random,0.34,0.66,0.003588569211022197
in,random,0.36,0.64,0.003481604186160408
in,random,0.38,0.62,0.003373536927340734
in,random,0.4,0.6,0.0032652621712193366
in,random,0.42,0.58,0.0031549065529638694
in,random,0.44,0.56,0.0030438181001390206
in,random,0.46,0.54,0.002936690336328955
in,random,0.48,0.52,0.0028242825419077765
in,random,0.5,0.5,0.002714995030860255
in,random,0.52,0.48,0.002604842659227859
in,random,0.54,0.46,0.0024984416006996165
in,random,0.56,0.44,0.002390910466911371
in,random,0.58,0.42,0.002283756412746077
in,random,0.6,0.4,0.00217502546191922
in,random,0.62,0.38,0.0020642281359246036
in,random,0.64,0.36,0.0019544018126697966
in,random,0.66,0.34,0.0018439134043323987
in,random,0.68,0.32,0.0017365296743293154
in,random,0.7,0.3,0.0016259648668070178
in,random,0.72,0.28,0.001523612550722402
in,random,0.74,0.26,0.0014109225275078894
in,random,0.76,0.24,0.0013058786865079012
in,random,0.78,0.22,0.0011975088496496218
in,random,0.8,0.2,0.0010897437369529997
in,random,0.82,0.18,0.0009814997644494
in,random,0.84,0.16,0.000870004194594296
in,random,0.86,0.14,0.0007601467023578933
in,random,0.88,0.12,0.0006494191453295861
in,random,0.9,0.1,0.0005419783306279648
in,random,0.92,0.08,0.00043207707471499336
in,random,0.94,0.06,0.0003245025632987244
in,random,0.96,0.04,0.0002163414000131933
in,random,0.98,0.02,0.00010987143910835197
in,random,1.0,0.0,0.0
in,oracle,0.0,1.0,0.005443035682936368
in,oracle,0.02,0.98,0.004674367761111037
in,oracle,0.04,0.96,0.004247497789095059
in,oracle,0.06,0.94,0.003920852566069178
in,oracle,0.08,0.92,0.003649326100057949
in,oracle,0.1,0.9,0.00341723469305253
in,oracle,0.12,0.88,0.003208175458082565
in,oracle,0.14,0.86,0.0030217001106668992
in,oracle,0.16,0.84,0.0028498722173011743
in,oracle,0.18,0.82,0.0026964759306225402
in,oracle,0.2,0.8,0.002554690309447248
in,oracle,0.22,0.78,0.002424590576917158
in,oracle,0.24,0.76,0.002300546821543547
in,oracle,0.26,0.74,0.0021846390566459886
in,oracle,0.28,0.72,0.0020747097922956047
